,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
894,-0.040000000000000036,8.0,-1.0,0.0,193.0,0.25,-2.0,1.0,1.0,5.0,1.0,2.0,0.0,5.0,3.0,0.24,-0.28,-0.6,194.0,122.0,71.0,1.0,0.09999999999999998,4.0,0.36000000000000004,1.0,1.0,0.0,1.0,0.15999999999999992,-4.0,-1.0,0.0,-2.0,0.0,4.0,0.15999999999999998,-4.0,-0.19999999999999996,1.0,0.0,-1.0,42.0,1.0796956347617142,,1,0.09773083197721052,0.07699178121721827,0.09497892447143204,2.8875,2.625,2.8375,0.050077031987059095,2
895,-0.6799999999999999,-2.0,-2.0,0.0,-84.0,-0.04999999999999993,1.0,2.0,-1.0,1.0,-2.0,-1.0,0.0,-3.0,1.0,-0.81,0.13,-1.33,-86.0,-50.0,-34.0,-19.0,0.010000000000000009,2.0,0.4,-1.0,0.0,0.0,0.0,0.0,-2.0,1.0,3.0,-1.0,6.0,1.0,0.06,5.0,0.72,1.0,0.2,-3.0,-18.0,1.04,,2,2.957289659498629,18.186411469286003,0.004932723099928101,25.0,67.0,1.0151515151515151,1.0772368647837711,2
896,0.28,3.0,0.0,0.0,60.0,0.15999999999999992,-3.0,0.0,5.0,4.0,-1.0,0.0,0.0,4.0,-1.0,0.3,-0.009999999999999981,-0.77,61.0,11.0,49.0,1.0,0.04999999999999999,4.0,-0.030000000000000027,2.0,0.0,0.0,-8.0,0.0,3.0,1.0,-8.0,-2.0,0.0,-6.0,-0.14999999999999997,6.0,0.24,0.0,0.0,-2.0,24.0,1.0776556776556776,,2,0.383695481107378,1.3266499161421599,0.014280564802309187,6.5,15.0,1.1666666666666667,0.923401780240251,0
897,0.6200000000000001,1.0,1.0,0.0,-13.0,-0.040000000000000036,1.0,1.0,-1.0,0.0,-2.0,3.0,-1.0,2.0,-1.0,0.5700000000000001,0.06,0.72,-10.0,-8.0,-5.0,-3.0,-0.13,2.0,0.17,2.0,1.0,0.0,0.0,-0.6699999999999999,0.0,-3.0,-4.0,2.0,9.0,0.0,0.0,9.0,0.32,-2.0,,0.0,-2.0,1.0795556196797,,0,0.03657167054944109,0.13416212970839436,0.1467086824288188,2.5,2.9875,2.9,0.09296256437407266,1
898,-0.10999999999999999,1.0,1.0,1.0,23.0,-0.040000000000000036,2.0,1.0,0.0,4.0,-2.0,-1.0,0.0,0.0,1.0,-0.06,-0.04999999999999999,-0.10000000000000003,47.0,3.0,20.0,-1.0,-0.06999999999999995,1.0,0.08000000000000002,-1.0,1.0,0.0,1.0,0.030000000000000027,-3.0,1.0,-11.0,1.0,-2.0,-4.0,-0.09000000000000002,2.0,0.10000000000000003,-3.0,-0.43,-1.0,18.0,1.087571332661967,,2,0.08804248570968927,0.38194253761634916,0.023613873806384317,3.6,8.0,1.460294117647059,0.7659059240632934,2
899,0.38000000000000006,10.0,0.0,0.0,-14.0,-0.039999999999999925,-1.0,-1.0,2.0,3.0,3.0,4.0,0.0,5.0,5.0,0.33,0.05,0.54,-8.0,-11.0,-3.0,7.0,0.13,2.0,-0.040000000000000036,3.0,-1.0,0.0,0.0,0.16999999999999998,-2.0,-4.0,-7.0,-2.0,-2.0,-2.0,-0.16999999999999998,0.0,0.0,-1.0,0.0,1.0,0.0,1.0769230769230769,,1,0.23270635817473503,0.03237443274538004,1.0742342569264516,4.5,1.2857142857142856,13.0,0.9665800101178699,1
900,0.17,1.0,1.0,0.0,0.0,0.029999999999999916,-1.0,-2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12,0.06,-0.24000000000000002,-6.0,-7.0,7.0,-1.0,0.07,0.0,0.0,1.0,0.0,0.0,1.0,0.42000000000000004,0.0,-1.0,-6.0,2.0,3.0,4.0,0.14000000000000007,-1.0,-0.06000000000000005,4.0,0.20999999999999996,1.0,0.0,1.0801864801864802,,1,0.0743620395450249,0.019035025826357136,0.544638283060418,3.75,1.4444444444444444,8.25,0.7723432333342349,1
901,0.58,-1.0,1.0,1.0,-17.0,-0.10000000000000003,-6.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.68,-0.1,0.06000000000000005,-8.0,-1.0,-16.0,1.0,-0.03999999999999998,-3.0,-0.3,-3.0,-1.0,0.0,-2.0,0.12,2.0,1.0,-10.0,0.0,-1.0,4.0,0.15999999999999998,-5.0,-0.16999999999999998,1.0,0.2,0.0,-2.0,1.082888380371218,,0,0.02348149757304792,0.15458487757539552,0.050182289772822526,2.25,4.6,2.375,0.42997293730658054,0
902,0.0,-1.0,0.0,0.0,23.0,0.08999999999999997,-5.0,1.0,-1.0,1.0,1.0,-3.0,1.0,-1.0,0.0,,,,12.0,-9.0,32.0,-8.0,-0.08999999999999997,0.0,-0.19,5.0,-1.0,0.0,-1.0,0.37,-5.0,3.0,7.0,-1.0,1.0,0.0,0.0,1.0,0.06000000000000005,-1.0,-0.16999999999999998,0.0,4.0,1.0811965811965811,,0,0.02899253575715004,0.03655086908047471,0.1874524161073905,2.25,2.25,5.2,0.5267577198276483,0
903,0.43000000000000005,8.0,0.0,0.0,-24.0,0.010000000000000009,2.0,1.0,0.0,2.0,3.0,3.0,0.0,4.0,4.0,0.4,0.03,0.9,-37.0,-11.0,-13.0,-5.0,-0.03999999999999998,1.0,0.24000000000000002,-2.0,1.0,0.0,-4.0,0.040000000000000036,5.0,-2.0,1.0,-3.0,4.0,-4.0,-0.09000000000000002,8.0,0.36000000000000004,5.0,,1.0,-12.0,1.0827067669172932,,1,0.11968079949312257,0.015766524091237476,0.5036487956651937,3.8,1.4,9.5,0.8490875127638663,1
904,-0.23000000000000004,-4.0,0.0,1.0,190.0,0.17999999999999994,-4.0,0.0,4.0,-1.0,-2.0,-1.0,1.0,-2.0,-2.0,-0.23000000000000004,,-0.69,191.0,135.0,55.0,14.0,0.10999999999999999,1.0,,2.0,1.0,0.0,-8.0,-0.050000000000000044,0.0,1.0,-16.0,1.0,-2.0,-5.0,-0.13999999999999996,3.0,0.24,2.0,-0.2,-1.0,40.0,1.0917343526039178,,2,0.09540023020661477,0.4570099905777654,0.023284385052400273,3.5,6.5,1.5333333333333332,0.6505972294644375,2
905,-0.89,-2.0,1.0,1.0,117.0,0.21999999999999997,-2.0,2.0,-2.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,-0.85,-0.04,-0.18999999999999995,116.0,69.0,48.0,12.0,0.13,-1.0,-0.14,-2.0,-1.0,0.0,3.0,-0.32999999999999996,-5.0,1.0,3.0,0.0,10.0,5.0,0.18999999999999995,5.0,0.19999999999999996,-1.0,0.32999999999999996,-1.0,28.0,1.0959098372891476,,2,0.10341849115649725,0.13022619542996328,0.02109844717882671,2.9,4.4,1.9090909090909092,0.4085403974476259,2
906,0.52,7.0,0.0,0.0,152.0,0.36000000000000004,-1.0,-1.0,11.0,2.0,1.0,4.0,0.0,4.0,3.0,0.33999999999999997,0.18,0.05,153.0,66.0,86.0,6.0,0.16,2.0,-0.32,4.0,-2.0,0.0,-2.0,0.0,-7.0,-4.0,-11.0,-1.0,-1.0,0.0,0.0,-1.0,-0.12000000000000005,2.0,0.67,0.0,50.0,1.0911928651059086,,1,0.058137405882676095,0.053226356090746614,0.14220576392051001,2.5,2.3,3.9,0.30061372024418437,1
907,-0.01999999999999999,2.0,-1.0,0.0,-81.0,-0.030000000000000027,1.0,1.0,3.0,1.0,3.0,-2.0,0.0,-2.0,4.0,-0.03,0.01,0.18999999999999995,-82.0,-121.0,40.0,-27.0,-0.20999999999999996,2.0,0.2,9.0,-1.0,0.0,2.0,0.14,-1.0,3.0,-5.0,-3.0,3.0,3.0,0.12000000000000005,0.0,0.0,2.0,0.42,0.0,-14.0,1.0858585858585859,,1,0.050633738852706424,0.03089365215426519,0.14052158265812312,2.75,2.0,4.5,0.4160757923875852,1
