,Expected goals (xG),Total shots,Big chances,Big chances missed,Accurate passes,Accurate passes percentage,Fouls committed,Offsides,Corners,Shots off target,Shots on target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,xG open play,xG set play,xG on target (xGOT),Passes,Own half,Opposition half,Accurate long balls,Accurate long balls percentage,Accurate crosses,Accurate crosses percentage,Throws,Yellow cards,Red cards,Tackles won,Tackles won percentage,Interceptions,Blocks,Clearances,Keeper saves,Duels won,Ground duels won,Ground duels won percentage,Aerial duels won,Aerial duels won percentage,Successful dribbles,Successful dribbles percentage,score,posession,0,1,2,final_score,odds_predict
25,-0.3,-8.0,0.0,0.0,-58.0,-0.08999999999999997,4.0,0.0,-2.0,-5.0,-4.0,1.0,0.0,-4.0,-4.0,-0.21,-0.09000000000000001,-0.2899999999999999,-60.0,-25.0,-33.0,4.0,0.06,-3.0,-0.36,-2.0,0.0,0.0,1.0,0.07999999999999996,0.0,-1.0,1.0,4.0,-6.0,-3.0,-0.15999999999999998,-3.0,-0.28,0.0,0.0,0.0,-12.0,2.6125,2.8605769230769234,2.875,2,0
26,0.03,-1.0,2.0,1.0,-202.0,-0.18000000000000005,-1.0,0.0,-1.0,0.0,3.0,-4.0,0.0,1.0,-2.0,0.09,-0.06,1.21,-202.0,-50.0,-152.0,-9.0,-0.41,-3.0,-0.10999999999999999,-1.0,0.0,0.0,3.0,0.25000000000000006,-3.0,4.0,10.0,-2.0,-3.0,-5.0,-0.12000000000000005,2.0,0.12000000000000005,-7.0,-0.15999999999999998,1.0,-40.0,3.4,1.6666666666666665,5.5,0,1
27,0.13,4.0,0.0,0.0,92.0,0.04999999999999993,-2.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.10999999999999999,0.02,-0.39,97.0,-33.0,125.0,5.0,0.06,-1.0,-0.42,5.0,0.0,0.0,2.0,0.0,-6.0,-3.0,-12.0,-1.0,4.0,5.0,0.21999999999999997,-1.0,-0.06000000000000005,-1.0,-0.23,-1.0,18.0,5.75,17.0,1.2,2,2
28,-0.24,1.0,-1.0,-1.0,-33.0,0.0,-5.0,3.0,-3.0,2.0,-2.0,1.0,0.0,0.0,1.0,-0.16999999999999998,-0.07,-0.14,-38.0,-4.0,-29.0,6.0,0.04999999999999993,-1.0,-0.2,1.0,-1.0,0.0,1.0,-0.19999999999999996,-5.0,-1.0,1.0,2.0,3.0,6.0,0.18,-3.0,-0.34,-2.0,0.0,0.0,-10.0,2.25,6.75,2.1,0,2
29,-1.0099999999999998,-3.0,-3.0,-1.0,-23.0,-0.10999999999999999,2.0,-2.0,-4.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,-0.69,-0.31,-1.05,-1.0,2.0,-25.0,11.0,0.12,-2.0,-0.18,-6.0,1.0,0.0,1.0,0.0,-7.0,1.0,7.0,0.0,4.0,1.0,0.020000000000000018,3.0,0.19999999999999996,1.0,-0.15999999999999992,-1.0,-2.0,4.2,8.0,1.4,2,2
30,-0.53,-6.0,0.0,0.0,167.0,0.040000000000000036,-3.0,0.0,-2.0,-4.0,0.0,-2.0,0.0,-5.0,-1.0,-0.3,-0.24,0.09000000000000001,175.0,32.0,135.0,16.0,0.18000000000000005,-1.0,-0.17,-5.0,0.0,0.0,0.0,0.0,-4.0,2.0,1.0,-1.0,0.0,-1.0,-0.040000000000000036,1.0,0.34,-3.0,,0.0,26.0,2.7,2.0,4.6,2,1
31,0.01999999999999999,1.0,0.0,0.0,7.0,0.05999999999999994,3.0,2.0,0.0,3.0,-1.0,-1.0,0.0,-2.0,3.0,0.07,-0.05,-0.13,-5.0,-16.0,23.0,1.0,0.04999999999999999,0.0,0.07,-4.0,-2.0,0.0,0.0,0.10000000000000009,-2.0,1.0,3.0,1.0,-1.0,-2.0,-0.040000000000000036,1.0,0.08000000000000002,1.0,0.0,0.0,-2.0,2.5,4.55,2.15,2,2
32,-0.45999999999999985,-4.0,0.0,-1.0,-40.0,-0.010000000000000009,7.0,-1.0,4.0,-2.0,0.0,-2.0,0.0,-6.0,2.0,-0.43000000000000005,-0.03,0.7999999999999999,-46.0,-52.0,12.0,-5.0,-0.17000000000000004,1.0,-0.13,4.0,0.0,0.0,-9.0,-0.34,1.0,2.0,-9.0,2.0,-24.0,-18.0,-0.44999999999999996,-6.0,-0.6000000000000001,1.0,-0.2,2.0,-8.0,10.0,1.0833333333333333,29.0,1,1
33,0.12,2.0,1.0,1.0,79.0,0.10999999999999999,-1.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,-0.07,0.18000000000000002,0.74,66.0,59.0,20.0,-2.0,0.05999999999999994,2.0,-0.64,-3.0,-1.0,0.0,-5.0,-0.019999999999999907,5.0,-1.0,-2.0,0.0,-1.0,-4.0,-0.12000000000000005,3.0,0.42,2.0,0.03999999999999998,1.0,16.0,4.25,1.3,10.625,1,1
34,-1.01,-4.0,-3.0,-1.0,102.0,0.029999999999999916,1.0,0.0,1.0,0.0,-4.0,0.0,1.0,0.0,-4.0,-1.0899999999999999,0.07999999999999999,-1.77,114.0,22.0,80.0,5.0,0.19000000000000006,2.0,0.35,-2.0,1.0,0.0,3.0,-0.17000000000000004,-2.0,1.0,-1.0,2.0,11.0,4.0,0.11000000000000004,7.0,0.43999999999999995,0.0,-0.26,-2.0,22.0,11.0,34.0,1.0625,2,2
