,Corners,Fouls Committed,Fouls Wons,Goals,Offsides,Pass Completion,Possesion,Red Cards,Shot Attempts,Shots Blocked,Total Passes,Total Shots on Target,Total xG,Under Pressure,Yellow Cards,fh_winner,target
172,-1.0,-4.0,4.0,-1.0,-2.0,0.18899999999999995,0.338,0.0,3.0,-1.0,177.0,3.0,0.47301990400000005,-0.20900000000000002,0.0,2,0
173,1.0,2.0,-2.0,0.0,0.0,0.139,0.40399999999999997,1.0,1.0,0.0,250.0,2.0,-0.0688030879999999,0.016,0.0,0,0
174,1.0,3.0,-3.0,-1.0,-2.0,-0.04700000000000004,-0.176,0.0,0.0,1.0,-96.0,-1.0,-0.32259873900000025,-0.07600000000000004,0.0,2,0
175,-4.0,0.0,1.0,1.0,1.0,-0.09899999999999998,-0.34400000000000003,0.0,-1.0,0.0,-201.0,-1.0,-0.19874392500000004,0.24400000000000002,1.0,1,2
176,1.0,0.0,0.0,0.0,-1.0,-0.15400000000000003,-0.516,0.0,2.0,0.0,-339.0,1.0,1.116852621,0.07500000000000001,1.0,0,0
177,-1.0,2.0,-5.0,-1.0,-1.0,-0.04400000000000004,-0.06000000000000005,0.0,4.0,4.0,-30.0,-1.0,-0.7857380555000002,0.05300000000000002,-1.0,2,2
178,-4.0,2.0,-5.0,0.0,1.0,-0.18599999999999994,-0.46199999999999997,0.0,-5.0,-1.0,-229.0,0.0,-0.56505901,0.207,0.0,0,2
179,2.0,1.0,-2.0,0.0,-1.0,0.15500000000000003,0.40199999999999997,0.0,5.0,3.0,209.0,-1.0,0.38429784,-0.033,0.0,0,1
180,2.0,1.0,-3.0,1.0,1.0,0.07999999999999996,0.236,0.0,8.0,2.0,136.0,1.0,1.1942285629999998,0.172,0.0,1,1
181,0.0,0.0,0.0,3.0,1.0,0.05400000000000005,0.18999999999999995,0.0,4.0,0.0,116.0,-2.0,1.93300265,0.04299999999999998,-1.0,1,1
182,2.0,-3.0,3.0,2.0,0.0,0.08099999999999996,0.12999999999999995,0.0,-3.0,-2.0,68.0,-1.0,0.5728570110000002,-0.10499999999999998,0.0,1,1
183,1.0,2.0,-4.0,0.0,1.0,-0.0040000000000000036,0.05400000000000005,0.0,4.0,0.0,29.0,1.0,0.13448772499999995,-0.10400000000000001,-1.0,0,2
184,-2.0,0.0,2.0,2.0,0.0,0.23099999999999998,0.486,0.0,7.0,0.0,236.0,4.0,0.752106685,-0.10499999999999998,-2.0,1,1
185,1.0,0.0,-1.0,2.0,-1.0,0.15800000000000003,0.236,0.0,12.0,1.0,124.0,8.0,1.531516228,-0.12999999999999998,-1.0,1,1
186,1.0,2.0,-1.0,0.0,-3.0,-0.04599999999999993,-0.16999999999999998,0.0,-1.0,0.0,-93.0,-1.0,-0.16446042299999997,-0.119,-1.0,0,2
187,3.0,1.0,0.0,0.0,1.0,-0.018000000000000016,-0.09200000000000003,0.0,3.0,2.0,-52.0,0.0,0.225964406,-0.175,2.0,0,1
188,4.0,2.0,-1.0,-1.0,-2.0,-0.026000000000000023,-0.008000000000000007,0.0,4.0,0.0,-4.0,1.0,-0.7084630740000001,-0.194,0.0,2,2
